name,status,site,sex,svl,weight,age,agemat,paired
TAD M1,1,1,M,84.8,58,,,0,
TAD M2,1,1,M,75,47,6,3,0,
TAD M3,1,1,M,78.4,54,,,0,
TAD M4,1,1,M,81.8,58,7,3,0,
TAD M5,1,1,M,75.1,54,6,3,0,
TAD M6,1,1,M,66.9,35,4,,0,
TAD M7,1,1,M,68.1,41,4,,0,
TAD M8,1,1,M,69.5,32,5,,0,
TAD M9,1,1,M,72.1,64,6,3,0,
TAD M10,1,1,M,64.1,,4,3,1,
TAD M11,1,1,M,71.8,,,,1,
TAD M12,1,1,M,70.9,,6,2,1,
TAD M13,1,1,M,73.2,,6,2,1,
TAD M14,1,1,M,68.3,,6,2,1,
TAD M15,1,1,M,74.5,,6,2,1,
TAD F1,1,1,F,83.4,,6,3,1,
TAD F2,1,1,F,84.5,,6,,1,
TAD F3,1,1,F,79.9,,,,1,
TAD F4,1,1,F,68.5,,4,3,1,
TAD F5,1,1,F,77,,6,2,1,
TAD F6,1,1,F,76.9,,6,3,1,
SHAM M1,1,2,M,71,51,5,2,0,
SHAM M2,1,2,M,67.2,47,5,3,0,
SHAM M3,1,2,M,64.8,41,4,,0,
SHAM M4,1,2,M,58,39,3,,0,
SHAM M5,1,2,M,75.9,49,7,,0,
SHAM M6,1,2,M,74,48,,,0,
SHAM M7,1,2,M,63.5,32,4,,0,
POOLE M1,1,3,M,58,57,4,2,0,
POOLE M2,1,3,M,74,62,5,3,0,
POOLE M3,1,3,M,72,53,4,,0,
POOLE M4,1,3,M,59,52,5,2,0,
POOLE M5,1,3,M,72,57,5,3,0,
POOLE M6,1,3,M,73,60,6,,0,
POOLE M8,1,3,M,62,44,6,3,0,
POOLE M9,1,3,M,68,68,5,3,0,
POOLE M10,1,3,M,67,52,5,,0,
POOLE M11,1,3,M,68,60,5,,0,
POOLE M12,1,3,M,62,44,5,,0,
POOLE M13,1,3,M,54,47,3,,0,
POOLE M14,1,3,M,55,,4,,1,
POOLE M15,1,3,M,59,,3,,1,
POOLE M16,1,3,M,74,,6,,1,
POOLE M17,1,3,M,69,,4,3,1,
POOLE M18,1,3,M,70.6,,5,3,1,
POOLE M19,1,3,M,72.4,,4,3,1,
POOLE M20,1,3,M,67.4,,5,,1,
POOLE M21,1,3,M,72.8,,5,,1,
POOLE M22,1,3,M,65.1,,5,2,1,
POOLE M23,1,3,M,75.5,,7,3,1,
POOLE M25,1,3,M,68.2,54,5,2,0,
POOLE M26,1,3,M,71.5,55,,,0,
POOLE M27,1,3,M,75,51,7,3,0,
POOLE M28,1,3,M,64,58,4,3,0,
POOLE M29,1,3,M,64.5,54,4,2,0,
POOLE M30,1,3,M,47.6,41,3,,0,
POOLE F1,1,3,F,56,,3,,1,
POOLE F2,1,3,F,55,,2,,1,
POOLE F3,1,3,F,71.5,,4,4,1,
POOLE F4,1,3,F,90,,7,3,1,
POOLE F5,1,3,F,88.7,,6,,1,
POOLE F6,1,3,F,74.3,,5,,1,
POOLE F7,1,3,F,87.1,,5,3,1,
POOLE F8,1,3,F,76.1,,5,,1,
POOLE F9,1,3,F,77.2,,5,,1,
POOLE F10,1,3,F,83.9,,7,3,1,
POOLE F11,1,3,F,79.9,,5,3,1,
POOLE F12,1,3,F,77.2,,6,,1,
POOLE F13,1,3,F,63.1,50,,,0,
EAL M1,1,4,M,73.4,,5,2,1,
EAL M2,1,4,M,69.5,,4,2,1,
EAL M3,1,4,M,67.2,,4,,1,
EAL M4,1,4,M,65,,4,3,1,
EAL M5,1,4,M,68.9,,4,2,1,
EAL M6,1,4,M,63.1,,3,,1,
EAL M7,1,4,M,67.8,,5,2,1,
EAL M8,1,4,M,80.7,,8,,1,
EAL M9,1,4,M,73.8,,5,,1,
EAL M10,1,4,M,61.2,,3,2,1,
EAL M11,1,4,M,74,,5,,1,
EAL M12,1,4,M,65.7,39,3,,0,
EAL M13,1,4,M,63.9,34,,,0,
EAL M14,1,4,M,70.9,45,5,3,0,
EAL M15,1,4,M,64.8,37,3,,0,
EAL M16,1,4,M,64.4,34,3,,0,
EAL M17,1,4,M,57.7,32,2,,0,
EAL M18,1,4,M,63.1,35,2,,0,
EAL M19,1,4,M,55.4,33,2,,0,
EAL M20,1,4,M,68.2,45,5,2,0,
EAL M21,1,4,M,67.5,33,3,,0,
EAL M22,1,4,M,71.1,47,4,2,0,
EAL M23,1,4,M,68.3,37,4,3,0,
EAL M24,1,4,M,69.8,43,4,3,0,
EAL M25,1,4,M,62.6,35,2,,0,
EAL M26,1,4,M,69.8,33,4,,0,
EAL M27,1,4,M,58,32,3,,0,
EAL M28,1,4,M,64.4,31,3,,0,
EAL M29,1,4,M,78,56,6,3,0,
EAL M30,1,4,M,70.8,46,,,0,
EAL M31,1,4,M,62.5,40,3,,0,
EAL M32,1,4,M,66.9,50,4,2,0,
EAL M33,1,4,M,73.5,49,5,3,0,
EAL M34,1,4,M,77.4,59,10,3,0,
EAL M35,1,4,M,77.4,80,8,4,0,
EAL M36,1,4,M,80,70,9,3,0,
EAL F1,1,4,F,78.2,,,,1,
EAL F2,1,4,F,82.2,,9,,1,
EAL F3,1,4,F,69.5,,5,,1,
EAL F4,1,4,F,77.9,,7,3,1,
EAL F5,1,4,F,70.4,,5,3,1,
EAL F6,1,4,F,65.4,,3,,1,
EAL F7,1,4,F,70.5,,5,4,1,
EAL F8,1,4,F,81.7,,8,4,1,
EAL F9,1,4,F,68.2,,4,3,1,
EAL F10,1,4,F,72.6,,4,4,1,
CHES M1,1,5,M,61.2,27,2,,0,
CHES M2,1,5,M,72.5,42,,,0,
CHES M3,1,5,M,71.9,37,4,,0,
CHES M4,1,5,M,71.9,36,4,3,0,
CHES M5,1,5,M,75,48,5,,0,
CHES M6,1,5,M,73.1,42,3,,0,
CHES M7,1,5,M,72.8,37,4,2,0,
CHES M8,1,5,M,68.5,34,3,,0,
CHES M9,1,5,M,80.2,56,8,,0,
CHES M10,1,5,M,72.8,41,5,3,0,
CHES M11,1,5,M,76,60,7,3,0,
CHES M12,1,5,M,76,57,5,,0,
CHES M13,1,5,M,78.5,56,7,3,0,
CHES M14,1,5,M,87.2,84,9,3,0,
CHES M15,1,5,M,84,64,7,3,0,
CHES M16,1,5,M,77,52,5,3,0,
CHES M17,1,5,M,72,40,5,3,0,
CHES M18,1,5,M,66.8,42,3,,0,
CHES M19,1,5,M,75.6,50,6,3,0,
CHES M20,1,5,M,76.7,61,5,3,0,
CHES M21,1,5,M,64.9,38,3,,0,
CHES M22,1,5,M,74.5,50,6,,0,
CHES M23,1,5,M,69.5,,5,2,1,
CHES M24,1,5,M,66.7,,4,2,1,
CHES M25,1,5,M,72,,5,2,1,
CHES F1,1,5,F,70,36,4,,0,
CHES F2,1,5,F,87.7,61,6,3,0,
CHES F3,1,5,F,71.6,,4,,1,
CHES F4,1,5,F,66.5,,3,,1,
CHES F5,1,5,F,92.1,,8,3,1,
MIT M1,0,6,M,72.5,,7,3,1,
MIT M2,0,6,M,80.7,,7,3,1,
MIT M3,0,6,M,101,,,,1,
MIT M4,0,6,M,67.8,,6,3,1,
MIT M5,0,6,M,75.6,,7,3,1,
MIT M6,0,6,M,68.4,,6,,1,
MIT M7,0,6,M,77,,7,,1,
MIT M8,0,6,M,74.5,,7,3,1,
MIT M9,0,6,M,72.5,,6,,1,
MIT M10,0,6,M,76.7,,7,3,1,
MIT M11,0,6,M,83,,8,3,1,
MIT M12,0,6,M,71.1,,,,1,
MIT M13,0,6,M,76.3,,7,3,1,
MIT M14,0,6,M,83.1,68,8,3,0,
MIT M15,0,6,M,85.8,72,9,3,0,
MIT M16,0,6,M,74.2,50,7,,0,
MIT M17,0,6,M,74.1,56,6,,0,
MIT M18,0,6,M,76.8,54,7,3,0,
MIT M19,0,6,M,70.6,43,6,3,0,
MIT M20,0,6,M,76.6,69,6,2,0,
MIT M21,0,6,M,62.2,58,4,3,0,
MIT M22,0,6,M,75.5,67,7,,0,
MIT M23,0,6,M,90.7,94,9,,0,
MIT M24,0,6,M,88.4,73,8,3,0,
MIT M25,0,6,M,76.2,60,7,,0,
MIT M26,0,6,M,72.5,67,7,3,0,
MIT M27,0,6,M,71.3,58,5,2,0,
MIT M28,0,6,M,75.7,61,8,3,0,
MIT M29,0,6,M,77.7,60,8,3,0,
MIT M30,0,6,M,71.3,54,6,3,0,
MIT M31,0,6,M,75.4,65,8,3,0,
MIT M32,0,6,M,71.2,58,6,3,0,
MIT M33,0,6,M,74.4,59,6,3,0,
MIT M34,0,6,M,72.2,53,,,0,
MIT M35,0,6,M,68.2,42,5,,0,
MIT M36,0,6,M,80.5,77,9,3,0,
MIT M37,0,6,M,70.5,50,6,,0,
MIT M38,0,6,M,71,53,6,3,0,
MIT M39,0,6,M,74.2,62,6,3,0,
MIT M40,0,6,M,73.6,63,,,0,
MIT M41,0,6,M,71.1,64,6,,0,
MIT M42,0,6,M,70.1,51,5,3,0,
MIT M43,0,6,M,72.3,53,5,3,0,
MIT M44,0,6,M,78.1,62,6,3,0,
MIT M45,0,6,M,76,60,7,3,0,
MIT M46,0,6,M,73.6,61,7,,0,
MIT M47,0,6,M,70.4,54,7,3,0,
MIT F1,0,6,F,78.2,,8,,1,
MIT F2,0,6,F,90.5,,9,4,1,
MIT F3,0,6,F,82.2,,8,3,1,
MIT F4,0,6,F,68.7,,6,,1,
MIT F5,0,6,F,89.2,,10,3,1,
MIT F6,0,6,F,71,,6,,1,
MIT F7,0,6,F,74.8,,5,3,1,
MIT F8,0,6,F,74.9,,,,1,
MIT F9,0,6,F,63.2,,4,,1,
MIT F10,0,6,F,81.9,,,,1,
MIT F11,0,6,F,73.5,,7,3,1,
MIT F12,0,6,F,72.4,,6,,1,
MIT F13,0,6,F,83.4,,8,,1,
MIT F14,0,6,F,84.8,57,8,,0,
FK M1,0,7,M,58.2,,5,3,1,
FK M2,0,7,M,80.5,,,,1,
FK F1,0,7,F,60.3,,6,4,1,
FK F2,0,7,F,73.5,,7,,1,
PGM1,0,8,M,63.4,,5,3,1,
PGM2,0,8,M,64.9,,5,2,1,
PGM3,0,8,M,66.5,,5,,1,
PGM4,0,8,M,62.8,,4,,1,
PGM5,0,8,M,72.1,,7,3,1,
PGM6,0,8,M,74.7,,7,3,1,
PGM7,0,8,M,57.6,,4,,1,
PGM8,0,8,M,69.6,,6,3,1,
PGM9,0,8,M,70,,6,2,1,
PGM10,0,8,M,64.5,,10,2,1,
PGM11,0,8,M,69.5,,6,2,1,
PGM12,0,8,M,68.5,,6,,1,
PGM13,0,8,M,72.5,,7,3,1,
PGM14,0,8,M,62.8,,4,2,1,
PGM15,0,8,M,69.8,,6,2,1,
PGM16,0,8,M,69.1,,6,2,1,
PGM17,0,8,M,57.8,,5,2,1,
PGM18,0,8,M,62.1,,5,2,1,
PGM19,0,8,M,63,,6,3,1,
PGM20,0,8,M,69.5,,6,3,1,
PGM21,0,8,M,61.5,,,,1,
PGM22,0,8,M,79.5,63,9,,0,
PGM23,0,8,M,72.1,42,6,,0,
PGM24,0,8,M,61.2,35,3,,0,
PGM25,0,8,M,64,41,5,,0,
PGM26,0,8,M,64,41,4,,0,
PGM27,0,8,M,65.8,38,,,0,
PGM28,0,8,M,68.2,46,5,2,0,
PGM29,0,8,M,73,45,8,3,0,
PGM30,0,8,M,62.2,33,5,,0,
PGM31,0,8,M,66.4,41,5,3,0,
PGM32,0,8,M,74.1,51,7,,0,
PGM33,0,8,M,69.2,46,6,,0,
PGM34,0,8,M,70,54,6,3,0,
PGM35,0,8,M,64.5,47,7,,0,
PGM36,0,8,M,75,56,6,,0,
PGM37,0,8,M,63,50,7,,0,
PGM38,0,8,M,73,51,7,,0,
PGM39,0,8,M,68.5,51,6,,0,
PGM40,0,8,M,74.9,51,8,,0,
PGF1,0,8,F,67.1,,5,,1,
PGF2,0,8,F,71.7,,6,,1,
PGF3,0,8,F,80.2,,8,,1,
PGF4,0,8,F,77.2,,4,,1,
PGF5,0,8,F,79,,,,1,
PGF6,0,8,F,68.2,,4,3,1,
PGF7,0,8,F,75.1,,6,3,1,
PGF8,0,8,F,68.7,,4,3,1,
PGF9,0,8,F,76.4,,6,,1,
PGF10,0,8,F,74.6,,7,3,1,
PGF11,0,8,F,81.6,,9,4,1,
PGF12,0,8,F,70.5,,,,1,
PGF13,0,8,F,80,,8,,1,
PGF14,0,8,F,79.4,,7,3,1,
PGF15,0,8,F,72.5,,6,,1,
PGF16,0,8,F,68.2,,,,1,
PGF17,0,8,F,70.3,,7,3,1,
PGF18,0,8,F,66.9,,6,,1,
PGF19,0,8,F,70.6,,7,4,1,
PGF20,0,8,F,74.5,,7,3,1,
PGF21,0,8,F,72.2,,7,4,1,
OXM1,0,9,M,74.9,44,,,0,
OXM2,0,9,M,85.4,61,,,0,
OXM3,0,9,M,65.5,39,,,0,
OXM4,0,9,M,83.9,60,8,,0,
OXM5,0,9,M,78.1,58,6,2,0,
OXM6,0,9,M,77.2,50,6,,0,
OXM7,0,9,M,75.1,51,6,3,0,
OXM8,0,9,M,83.5,64,8,,0,
OXM9,0,9,M,82,63,8,3,0,
OXM10,0,9,M,68.6,45,6,,0,
OXM11,0,9,M,75.3,52,6,3,0,
OXM12,0,9,M,77.9,58,7,3,0,
OXM13,0,9,M,78.6,60,7,,0,
OXM14,0,9,M,77,57,6,2,0,
OXM15,0,9,M,74.7,51,6,,0,
OXM16,0,9,M,73.2,50,5,,0,
OXM17,0,9,M,72.3,53,5,,0,
OXM18,0,9,M,67.2,42,4,,0,
OXM19,0,9,M,71,56,4,,0,
OXM20,0,9,M,71.2,54,5,,0,
OXM21,0,9,M,62.5,45,4,,0,
OXM22,0,9,M,62.2,41,5,,0,
OXM23,0,9,M,78,61,7,,0,
OXF1,0,9,F,84.4,56,6,3,0,
OXF2,0,9,F,76.8,42,4,3,0,
OXF3,0,9,F,83.1,51,6,3,0,
WITM1,0,10,M,85.3,64,7,3,0,
WITM2,0,10,M,80.9,61,7,,0,
WITM3,0,10,M,85.1,63,,,0,
WITM4,0,10,M,81.1,59,,,0,
WITM5,0,10,M,82.5,61,7,,0,
